gender,age,year,eyecolor,height,miles,brothers,sisters,computertime,exercise,exercisehours,musiccds,playgames,watchtv
female,20,second,green,68,0,0,1,20,Yes,3,84,0,4
female,27,second,hazel,62,244,2,0,5,Yes,4,55,0,10
male,20,third,blue,71,450,1,1,7,No,0,30,0,9
male,21,other,brown,69,170,2,0,15,Yes,2,20,0,10
female,19,second,blue,67,120,0,1,15,No,0,100,15,30
male,19,second,brown,68,3000,1,1,7,No,0,0,12,0
male,21,fourth,brown,58,1000,3,0,10,Yes,10,80,10,25
female,20,third,blue,62,330,2,0,5,No,0,120,0.5,2
female,19,second,brown,62,200,2,0,10,Yes,3,20,0,1
female,20,third,blue,66,1200,0,0,10,Yes,5,100,5,10
male,20,third,blue,77,22,2,0,13,Yes,4.5,200,1,9
male,21,third,hazel,73,138,1,0,8,Yes,5,100,10,2
female,19,second,green,58,40,0,2,4,No,0,36,0,5
male,20,third,hazel,72,100,0,1,40,Yes,4,200,10,4
female,20,second,blue,64,120,2,1,5,No,0,50,0,2
male,21,third,other,75,45,0,2,8,Yes,8,200,0,5
female,20,third,hazel,65,90,1,1,18,Yes,0,40,0,2
male,19,second,blue,73,120,3,1,15,Yes,10,1000,2,8
female,18,first,brown,64,35,1,0,7.5,No,0,100,0,15
male,20,second,hazel,73,80,2,1,5,No,0,30,5,10
female,20,third,brown,69,110,0,3,15,Yes,5,50,2,8
male,20,third,hazel,72,316,0,1,4,Yes,10,300,3,15
female,19,second,blue,64,45,0,1,4,Yes,4,75,0,2
male,24,fourth,blue,68,453,2,1,7,Yes,6,300,8,4
female,23,other,blue,64,25,1,1,20,Yes,5,30,4,3
female,20,third,hazel,68,90,1,1,4,Yes,5,50,0,10
male,21,fourth,brown,67,30,1,0,24,No,0,100,3,20
female,20,third,hazel,66,300,0,2,10,No,0,100,2,10
male,20,third,brown,70,10,2,0,5,No,0,0,5,5
female,22,fourth,brown,63,130,1,0,3,No,0,300,10,10
male,20,third,blue,70,181,0,2,25,Yes,5,10,3,10
male,19,second,hazel,66,30,1,2,20,No,0,300,2,20
female,20,third,blue,70,73,2,0,5,No,0,30,2,10
female,22,other,brown,71,0,2,0,2,Yes,5,50,0,5
female,19,second,hazel,68,180,1,1,7,No,0,30,1,4
male,20,third,blue,70,250,0,1,7,Yes,5,35,3,3
male,20,third,blue,71,168,0,1,5,No,0,20,1,16
male,19,second,blue,76,134,0,0,15,No,0,300,4,14
male,24,third,blue,69,45,3,2,20,Yes,20,45,0,2
male,27,fourth,blue,69,150,0,3,15,No,0,30,5,10
male,22,fourth,hazel,75,200,0,1,1,Yes,2,150,1,10
male,22,fourth,brown,77,50,1,1,3,No,0,124,0,3
female,22,other,green,70,45,2,2,10,Yes,4,100,2,12
male,20,third,brown,70,55,1,0,6,No,0,25,9,12
female,19,second,green,80,107,3,0,10,No,0,50,0,9
female,20,third,blue,64,27.5,1,0,7.5,No,0,100,0,2.5
male,19,second,brown,69,240,1,1,10,No,0,215,2,2
female,19,second,blue,65,160,1,1,10,Yes,4.5,30,0,5
male,20,third,brown,70,118,2,0,20,No,0,100,2,3
female,20,third,green,65,185,4,1,7.5,Yes,4,75,3,2.5
female,21,third,blue,63,0,1,1,3,Yes,8,48,1,10
female,20,third,hazel,68,99.6,1,0,30,No,0,120,10,21
male,20,third,blue,79,30,0,1,5,Yes,15,50,15,35
male,39,third,brown,68,525,1,1,12,Yes,2,30,1,5
female,19,second,blue,63,90,3,1,8,No,0,25,0,7
female,19,second,hazel,65,72,1,1,3,Yes,4,81,3,15
male,21,fourth,blue,70,185,1,0,5,Yes,3,17,1,4
male,21,fourth,blue,73,200,0,1,10,Yes,6,150,3,5
female,19,second,green,67,150,2,1,18,No,0,30,0,16
female,19,second,brown,67,135,1,1,6,Yes,2,43,0,1
female,21,third,brown,70,90,0,1,2,No,0,15,0,2
male,20,third,other,66,0,0,1,8,No,0,100,8,6
male,23,other,green,69,20,2,2,4,Yes,6,43,3,2.5
male,20,third,brown,69,370,0,2,10,No,0,120,1,5
male,22,first,brown,72,1000,0,1,10,No,0,50,20,10
male,21,third,brown,71,160,1,0,6.5,Yes,6,150,0.5,3
female,20,second,green,64,150,0,1,4,Yes,6,100,10,12
female,24,other,brown,60,700,1,2,10,No,0,25,2,4
female,19,second,blue,62,45,1,1,2,No,0,73,4,3
female,19,second,green,66,350,0,1,10,Yes,3,50,0,8
male,20,third,blue,71,300,0,1,4,Yes,12,0,1,4.5
female,20,third,brown,67,132,0,0,9,Yes,5,37,0,3.5
female,19,second,blue,66,90,2,0,15,Yes,6.5,50,0,2
female,20,third,green,72,320,2,0,7,No,0,60,0,14
female,20,third,blue,63,220,2,2,1,Yes,4,0,0,3
female,21,fourth,brown,65,60,3,1,1,No,0,200,0,16
female,22,fourth,blue,67,175,4,2,6,No,0,175,3,28
male,21,third,blue,72,140,1,0,3,No,0,25,0,10
female,21,fourth,brown,66,10,0,1,15,No,0,35,0,10
male,23,other,blue,72,30,0,1,7,Yes,8,60,8,21
female,19,second,hazel,65,190,1,0,10,Yes,7,123,2,2
male,22,fourth,hazel,69,10,1,2,8,Yes,6,150,0,1
female,18,second,blue,66,889,2,0,4,No,0,35,2,4
female,20,third,green,67,120,2,0,5,No,0,200,0,5
male,21,fourth,brown,70,1400,1,0,12,Yes,8,4,5,8
male,20,other,brown,69,65,1,2,6,No,0,130,4,8
female,20,third,hazel,65,120,2,0,3,Yes,10,30,0,6
female,22,other,green,64,150,1,2,2,Yes,4,10,0,20
female,19,second,green,65,25,1,0,25,Yes,7,20,2,5
female,20,third,hazel,68,400,0,3,14,Yes,7,100,0,6
female,19,third,blue,67,40,2,1,12,Yes,3,30,1,3
male,20,third,brown,70,209,1,1,3,Yes,4,450,1,4
female,19,second,blue,69,40,0,2,10,Yes,5,50,1,4.5
female,19,second,blue,66,180,0,2,6,Yes,3,20,1,15
male,21,third,blue,69,100,1,1,1,Yes,5,50,0,2
female,19,second,other,62,45,0,3,3,No,0,25,1,15
male,24,third,green,73,350,2,1,5,Yes,10,45,2,1
male,23,fourth,blue,64,40,1,1,30,No,0,50,1,3
female,21,fourth,hazel,67,45,2,0,7,Yes,4,40,0,5
female,20,third,blue,68,154,2,0,20,Yes,3,35,2,4
female,19,second,green,64,45,1,1,4,No,0,200,0,6
female,20,third,brown,65,0,1,1,3,No,0,50,0,3
female,20,third,hazel,66,50,1,0,14,Yes,4.5,100,0,4
female,19,second,blue,67,130,0,2,3,Yes,3,90,0,3
male,20,second,blue,70,120,1,3,15,Yes,10,100,7,9
female,22,third,brown,64,6000,0,3,15,No,0,100,15,10
female,20,third,blue,65,43,0,2,4,Yes,3,70,0,10
female,19,second,blue,72,20,1,1,35,No,0,75,7,28
male,19,second,other,71,40,3,1,3,Yes,8,10,2,10
male,20,second,brown,70,0,1,1,10,Yes,10,50,0,40
female,26,third,hazel,68,150,0,1,12,Yes,4,250,2,12
female,20,third,green,69,90,2,1,1,Yes,1,10,0,10
male,20,third,blue,71,120,0,0,5,No,0,125,2,20
female,19,second,brown,68,200,1,1,7,Yes,5,200,0.5,3
male,18,first,blue,68,25,1,1,12,No,0,20,21,15
female,20,third,blue,65,1000,1,0,20,No,0,175,2,5
female,21,fourth,brown,63,65,2,3,10,No,0,50,5,5
male,22,other,brown,69,60,1,1,28,Yes,2,43,2,20
male,20,third,hazel,75,180,2,1,5,Yes,5,60,15,15
female,22,fourth,green,66,0,2,0,3,Yes,5,20,5,10
female,20,third,green,72,250,1,1,1,No,0,20,1,12
male,22,other,brown,66,120,1,1,2,Yes,5,50,3,3
female,22,fourth,blue,66,180,1,1,6,No,0,25,0,3
male,19,second,blue,73,40,0,1,20,No,0,100,3,1
female,20,third,brown,61,230,1,0,5,No,0,10,20,15
female,20,third,brown,61,200,3,6,6,Yes,9,78,5,10
female,31,fourth,brown,62,34,1,0,15,Yes,3,50,0,3
male,21,third,blue,71,35,1,1,8,No,0,10,10,10
male,20,third,hazel,72,180,0,0,5,No,0,100,10,10
female,19,second,blue,67,60,2,1,21,Yes,5,200,4,14
female,19,second,brown,66,60,2,1,20,No,0,100,1,21
male,20,third,brown,74,235,1,1,10,Yes,10,189,0,3
male,26,first,brown,70,5000,0,1,20,No,0,10,10,10
male,20,third,brown,70,2500,0,0,10,Yes,5,50,10,20
female,20,third,brown,64,300,0,3,10,No,0,50,0,10
female,18,first,brown,67,35,0,1,8,No,0,30,3,5
female,21,third,brown,64,50,1,3,2,No,0,100,0,5
male,22,fourth,hazel,76,45,1,1,4,Yes,5,150,2,2
male,20,third,blue,72,180,1,0,6,No,0,100,2,6
female,19,second,green,64,100,1,1,2,No,0,50,1,2
male,21,third,blue,70,100,2,0,2,Yes,7,10,0,10
male,19,second,brown,71,388,0,1,10,No,0,350,0,4
male,24,third,brown,77,90,2,0,2,Yes,4,50,0,3
female,22,fourth,hazel,65,120,2,1,10,Yes,6,30,0,0
male,21,fourth,blue,66,10,1,2,25,Yes,5,60,10,10
male,22,other,blue,73,85,2,1,12,Yes,3,35,1,8
male,21,fourth,blue,67,110,3,0,10,Yes,8,200,0,6
female,21,third,brown,67,30,0,2,8,Yes,4,128,0,2
female,20,second,green,68,105,0,1,6,Yes,5,56,0,5
male,19,second,blue,74,130,2,0,15,Yes,4,20,10,10
female,21,fourth,hazel,67,0,0,1,10,Yes,5,40,2,21
male,20,third,blue,68,135,2,0,5,No,0,40,12,4
female,19,second,blue,67,120,1,2,6,Yes,0,125,0,4
female,19,third,blue,69,35,1,1,10,Yes,4,20,0,0
male,20,third,brown,65,0,1,0,10,No,0,35,2,8
male,19,second,brown,76,1381,0,1,5,Yes,3.5,36,10,15
male,19,second,blue,69,140,1,1,10,Yes,10,20,15,5
female,19,second,hazel,64,120,0,1,5,Yes,4.5,50,10,13
female,20,third,blue,67,170,0,1,3,Yes,6,100,3,7
female,20,third,blue,64,180,1,0,10,Yes,7,20,1,5
female,20,third,hazel,70,210,0,1,7,No,0,50,0.5,5
male,20,third,brown,72,113,0,1,5,Yes,5,50,0,4
female,22,other,brown,61,326,1,1,65,No,0,55,20,21
female,20,third,green,69,192,1,2,10,Yes,8,50,0,6
male,22,first,brown,72,40,0,2,21,No,0,400,24,21
male,20,third,blue,70,65,2,1,6,No,0,25,0,2
female,19,second,brown,61,4000,0,1,10,No,0,60,0,0
male,22,fourth,hazel,71,15,2,1,10,Yes,7,10,0,5
male,20,third,brown,76,375,1,1,20,Yes,8,35,1,5
male,20,third,brown,72,20,2,1,12,Yes,8,300,0,10
female,19,second,blue,68,350,1,0,50,No,0,50,0.5,10
female,20,third,brown,66,200,1,0,10,Yes,5,60,0,10
male,19,second,blue,72,75,1,2,4,No,0,5,2,5
male,19,second,brown,72,440,0,3,10,No,0,400,1,8
male,21,third,hazel,75,200,1,3,5,No,0,20,15,20
female,20,third,blue,66,400,0,1,6,Yes,4,150,1,0
female,21,first,brown,66,7000,2,0,4,No,0,87,20,56
female,20,third,brown,63,800,0,0,10,Yes,9,10,0,20
female,19,second,blue,71,361.5,0,1,25,Yes,7,200,0,10
male,21,fourth,brown,69,130,0,0,20,No,0,400,20,35
female,20,third,brown,67,60,1,0,10,Yes,4,40,1,2
female,21,third,brown,67,130,1,1,10,Yes,3,300,0,14
male,22,fourth,blue,72,150,1,2,1,No,0,50,2,10
female,19,second,blue,70,50,1,2,15,Yes,4,75,0,4
male,21,second,brown,70,3000,1,0,5,No,0,0,10,2
female,21,third,green,65,40,0,0,12,Yes,4,25,0,4
female,20,third,brown,66,30,2,1,12,Yes,9,100,2,2
male,22,fourth,blue,74,805.84,2,0,7,No,0,30,0,0
female,20,third,blue,68,175,2,3,6,Yes,5,15,2,10
male,18,first,blue,73,40,1,0,8,No,0,200,12,8
female,20,third,hazel,60,250,0,0,6,Yes,3,100,1,5
male,20,third,green,72,160,0,1,10,Yes,7,100,1,2
female,20,third,brown,56,165,1,3,16,No,0,80,0,14
female,21,fourth,green,66,120,1,1,15,Yes,8,100,4,8
female,20,third,hazel,70,333,1,0,7,No,0,50,0.5,5
female,18,first,hazel,62,120,2,2,8,Yes,2,120,0,2
female,22,fourth,brown,67,30,1,4,8,No,0,35,2,20
female,20,third,brown,67,134,1,1,4,Yes,3,27,2,2
female,19,second,green,69,90,1,1,4,Yes,5,20,0,15
female,20,third,blue,67,225,3,0,4,Yes,5,65,2,7
female,21,third,blue,66,150,1,0,20,Yes,2,100,1,7
female,22,other,blue,67,927,3,2,15,Yes,5,250,0,0
female,21,other,brown,60,210,0,1,1,No,0,150,0,15
female,20,third,green,66,60,3,1,1,Yes,3,10,0,10
female,19,second,brown,66,350,0,1,20,No,0,45,1,10
male,22,other,blue,72,110,1,2,15,Yes,4,150,1,14
male,21,third,green,71,135,1,1,8,Yes,3,156,10,6
female,20,third,hazel,61,30,1,1,15,Yes,7,60,1,9
male,25,other,blue,71,37,1,3,5,No,0,25,0,0
female,21,fourth,brown,66,8,1,1,1,Yes,0,30,0,2
female,20,third,green,66,250,1,0,3,Yes,5,100,0,10
female,20,third,brown,63,750,1,0,21,Yes,6,64,0,3
male,21,third,blue,69,200,0,2,5,Yes,3,100,8,15
female,23,other,hazel,62,180,1,0,5,No,0,40,0,10
female,19,second,brown,66,200,0,1,20,No,0,170,0,2
female,20,third,brown,68,330,0,2,25,Yes,4,35,4,20
female,20,third,blue,71,150,1,2,21,No,0,2,2,14
female,21,fourth,brown,60,250,1,0,5,No,0,120,0,5
female,20,second,brown,63,250,2,1,18,Yes,6,90,0,0
male,23,other,green,74,40,4,1,40,Yes,2,100,5,20
female,19,second,blue,70,225,1,1,10,Yes,3,45,0,2
female,20,third,brown,69,100,1,1,4,Yes,2,10,1,3
male,21,third,blue,70,198,2,0,85,Yes,4,50,1,15
male,20,third,blue,72,230,0,1,3,Yes,4.5,30,10,5
male,38,first,other,67,6000,2,0,3,No,0,0,0,7
female,21,fourth,hazel,62,2000,1,1,1,Yes,22,150,0,4
female,22,fourth,blue,65,200,0,1,3,Yes,3,30,0,6
male,21,fourth,brown,70,375,0,2,4,Yes,8,150,2,10
male,19,second,hazel,72,120,1,1,16,Yes,9,70,3,5
male,21,third,brown,75,110,0,1,15,No,0,25,3,15
female,20,third,hazel,68,150,2,2,10,No,0,200,2,10
female,17,first,brown,66,550,1,1,3,No,0,100,0,10
female,20,third,green,63,210,2,2,23,Yes,5,600,0,0
male,21,fourth,brown,72,300,1,0,10,Yes,10,200,3,15
male,21,fourth,green,76,40,0,2,4,Yes,6,330,10,6
male,20,third,blue,74,208,1,1,10,Yes,9,120,1,4
female,20,fourth,brown,65,0,4,4,10,Yes,3,35,1,1
female,19,second,green,68,40,2,0,15,Yes,10,50,0,4
female,20,third,brown,62,2300,1,0,20,No,0,10,5,70
female,19,second,hazel,63,250,1,0,10,Yes,4,100,0.5,4
male,25,third,hazel,71,40,0,1,3,No,0,300,0,15
male,20,third,blue,77,360,0,1,10,Yes,7,0,5,10
female,20,third,brown,67,62,2,1,10,No,0,50,3,30
male,25,fourth,blue,74,125,1,2,8,Yes,8,0,1,12
female,21,fourth,brown,62,35,1,0,6,Yes,3,400,4,6
male,21,other,hazel,72,93,1,0,20,Yes,4.5,10,4,10
male,20,second,brown,72,212,3,3,2,Yes,3,20,1,2
male,21,fourth,brown,70,200,0,1,5,No,0,40,5,5
male,19,second,brown,68,180,4,0,8,Yes,8,100,1,30
male,20,third,green,74,65,1,1,2,No,0,30,5,15
male,21,third,hazel,67,45,2,1,3.5,Yes,6,250,2,3
female,19,third,brown,71,620,1,0,21,Yes,8,100,0,2
female,20,third,green,63,120,1,1,15,Yes,6,40,0,10
male,19,second,blue,71,180,0,1,14,Yes,9,60,10,21
female,21,fourth,green,64,60,0,2,3,Yes,6,2,0,9
male,24,second,blue,72,90,1,1,4,Yes,6,100,4,10
female,19,second,brown,61,45,2,0,2,Yes,5,20,0,14
male,22,other,green,73,0,0,0,15,No,0,40,2,1
female,20,third,hazel,63,0,0,3,3,Yes,9,15,2,7
female,19,second,other,67,110,2,1,4,Yes,9,25,0,5
female,19,second,brown,64,25,0,1,9,Yes,9,100,0,9
male,20,second,other,72,5900,1,0,8,Yes,1,15,2,12
male,20,third,hazel,70,212,0,2,20,No,0,200,1,12
male,21,fourth,hazel,72,320,0,0,20,Yes,6,50,10,10
female,36,fourth,blue,71,30,0,3,10,No,0,50,2,5
female,23,fourth,green,69,120,0,1,3,Yes,3,100,3,3
female,20,third,green,66,215,1,0,2,Yes,3.5,50,2,3
female,19,second,brown,64,100,1,1,14,Yes,6,40,0,5
male,19,second,hazel,72,100,0,1,2,Yes,8,30,10,10
female,21,fourth,green,66,40,1,0,10,Yes,4,150,0.5,4
female,20,third,green,63,210,0,1,30,Yes,3,50,5,21
male,22,fourth,blue,70,100,0,1,15,Yes,7.5,300,0,10
male,23,other,hazel,70,220,2,1,2,Yes,15,50,15,7
male,20,third,blue,68,200,0,1,1,No,0,60,3,10
female,21,fourth,hazel,67,240,1,1,20,Yes,3,30,2,5
male,24,other,green,70,456,1,1,15,No,0,50,15,5
female,23,other,brown,65,20,2,0,7,No,0,75,3,7
female,20,third,hazel,65,30,0,1,7,Yes,3,100,0,10
male,20,second,hazel,74,185,3,1,5,No,0,5,0.5,3
male,19,second,green,78,140,0,1,8,No,0,20,0,7
female,20,second,blue,63,60,0,2,10,Yes,1,35,1,7
female,21,third,brown,67,85,1,0,5,Yes,5,10,0,1
male,18,first,blue,72,100,1,1,10,Yes,4,100,35,35
female,19,second,brown,68,35,1,1,7,Yes,6,30,2,13
male,21,third,green,70,150,0,1,4,Yes,3,75,4,4
male,21,third,blue,72,120,2,2,5,No,0,40,2,15
female,21,fourth,blue,63,215,3,0,4,Yes,4,40,2,3
male,20,third,brown,71,243,1,0,20,Yes,8,120,0,3
female,23,other,blue,63,90,2,1,10,Yes,4,75,1,20
female,21,third,blue,62,40,0,1,20,Yes,12,30,0,5
male,21,second,brown,67,100,0,2,15,Yes,4,85,3,8
male,19,first,green,74,40,1,0,10,No,0,9,25,10
male,21,third,brown,70,0,0,0,19,No,0,100,6,18
female,18,first,brown,68,170,4,2,10,No,0,100,3,35
female,20,second,blue,69,113,1,0,20,No,0,50,4,8
male,23,fourth,brown,75,100,1,1,5,Yes,5,25,0,5
female,19,first,green,64,46,1,2,30,No,0,50,2,0
male,21,third,blue,79,40,0,1,5,Yes,5,50,20,20
male,22,fourth,green,76,45,3,3,4,Yes,4,300,6,5
male,21,third,hazel,72,82,3,1,8,Yes,4,25,1,5
female,21,third,blue,65,0,4,2,35,Yes,3,100,0,2
female,19,second,brown,69,100,0,1,6,Yes,2,100,1,3
female,20,second,hazel,68,200,1,0,15,Yes,4.5,30,0,0.5
female,28,third,blue,63,35,2,0,4,Yes,3,75,1,7
female,22,fourth,blue,68,95,1,0,10,Yes,4,100,3,15
female,20,third,hazel,65,40,2,0,15,Yes,3,40,1,18
female,21,third,blue,68,15,1,1,3,Yes,10,100,0,15
female,21,third,blue,69,98,0,3,13,Yes,6,44,0,2.5
male,20,second,hazel,70,99,0,2,20,No,0,2,10,20
male,19,first,blue,61,60,3,1,20,Yes,6,30,1,5
male,20,third,blue,72,300,0,1,10,No,0,0,20,20
female,22,fourth,blue,64,87,0,1,2,No,0,1400,0,2
female,20,third,blue,69,345,1,0,5,Yes,5,20,5,15
female,20,second,blue,63,200,2,0,10,Yes,10,100,1,2
male,20,second,brown,73,100,3,0,20,Yes,8,10,20,7
male,21,third,hazel,76,150,1,2,6,Yes,4.5,20,6,1
male,19,second,blue,74,150,1,1,3,No,0,30,8,15
female,18,first,blue,65,359,2,1,2,No,0,30,0,10
female,27,other,blue,62,175,2,0,20,Yes,5,35,2,10
male,18,first,blue,71,30,3,0,30,Yes,8,7,0,5
male,19,second,brown,71,160,0,0,14,No,0,12,0,1
female,22,other,brown,66,100,0,1,7.5,No,0,30,7.5,1
female,18,first,blue,65,146,4,0,5,Yes,8,20,2,20
male,20,second,brown,73,200,0,0,28,Yes,7,150,0,7
female,23,other,blue,67,300,1,1,10,Yes,4,40,0,3
male,18,first,blue,70,50,1,0,4,No,0,5,10,5
male,22,fourth,blue,72,250,1,1,5,No,0,20,0,15
female,19,second,green,67,170,1,0,4,Yes,5,30,0,2
male,20,second,blue,77,75,2,0,14,No,0,45,2,15
female,20,third,blue,68,175,1,2,7,No,0,75,7,6
female,19,second,brown,69,130,0,2,5,No,0,150,2,10
female,20,third,blue,68,10,2,1,5,No,0,75,1,5
male,22,second,other,70,6000,1,2,80,No,0,17,15,20
female,20,third,blue,71,60,0,1,2,No,0,50,0,15
female,21,third,hazel,68,60,2,3,5,Yes,4,50,0,5
male,20,second,blue,74,323,1,0,8,Yes,12,75,0,8
female,20,second,hazel,64,150,0,1,30,Yes,5,35,0,1
female,19,second,hazel,65,220,3,0,30,Yes,5,94,0,6
female,20,second,blue,68,500,1,0,3,No,0,40,0,5
female,21,fourth,blue,67,45,0,2,20,No,0,40,1,4
male,18,first,blue,72,153,1,1,15,No,0,50,30,7
female,18,first,blue,66,140,1,3,5,Yes,2,20,10,0
male,20,second,brown,76,184,1,2,15,Yes,4,20,5,25
female,20,third,brown,66,3000,3,0,10,No,0,100,5,20
female,23,other,blue,67,4,0,0,24,Yes,5,30,0,14
male,25,fourth,brown,66,10000,0,1,10,Yes,3,20,3,10
female,19,second,hazel,66,50,3,3,4,Yes,2,50,1,14
female,21,third,green,67,189,1,0,15,Yes,6,35,1,10
female,18,first,blue,63,175,1,1,10,No,0,30,0,0
female,20,second,brown,65,60,1,2,10,No,0,20,0,14
female,18,first,hazel,64,140,2,0,14,Yes,0.5,25,0,0.5
female,19,second,blue,67,300,1,1,15,Yes,10,25,0,3
female,22,fourth,green,69,40,1,1,40,No,0,175,1,5
female,19,second,blue,67,80,1,2,15,Yes,5,25,1,15
female,18,second,blue,65,590,1,1,15,Yes,4,60,0,3
female,20,third,brown,66,45,4,2,40,Yes,5,10,3,8
female,19,second,green,65,211,0,4,6,No,0,60,7,7
female,19,"first""",blue,68,250,2,0,12,Yes,5,24,0,7
female,19,second,blue,68,370,0,3,25,No,0,25,0,14
female,20,second,green,63,101,1,2,2,Yes,0,20,0,3
female,20,second,brown,62,220,1,0,10,No,0,10,0,3
female,20,third,hazel,62,330,0,0,8,Yes,5,20,4,6
female,21,third,brown,61,0,0,2,2.5,Yes,5,50,1,5
female,18,first,brown,64,5,1,0,12,Yes,5,26,1,4
female,21,third,brown,64,31,1,0,2,No,0,25,0,12
female,39,fourth,hazel,67,40,1,1,4,Yes,5,30,0,10
male,19,second,hazel,75,0,1,2,10,Yes,6,20,24,24
female,19,second,blue,68,155,1,1,3.5,No,0,55,0.5,20
female,20,second,blue,65,40,0,1,6,Yes,3.5,20,0,6
female,24,other,green,70,140,5,1,8,Yes,8,45,0,8
male,19,third,hazel,69,200,1,0,1,Yes,2,40,5,12
female,20,second,hazel,62,48,1,0,3,Yes,2,45,2,8
male,20,second,hazel,78,120,2,0,15,Yes,8,200,0,2
female,21,third,green,67,100,1,4,5,Yes,4,25,0,30
male,21,second,blue,70,60,0,1,10,No,0,30,0,5
female,22,fourth,brown,65,222,2,1,5,Yes,3,10,0,10
male,21,third,hazel,72,200,1,1,4,No,0,10,4,12
female,21,third,brown,62,96,0,1,1,Yes,3,52,0,3
female,20,second,green,62,0,1,0,10,Yes,2,25,0,5
male,20,second,blue,68,225,0,2,5,Yes,4,15,2,12
female,21,third,green,62,126,0,0,2,Yes,5,20,0,4
male,21,fourth,blue,71,145,0,3,2,Yes,5,15,0,12
female,22,fourth,brown,63,0,1,0,3,Yes,1,60,0,20
male,21,third,blue,74,200,1,0,2,Yes,5,93,1,3
male,21,third,brown,65,200,1,1,24,Yes,4,200,1,8
female,22,fourth,hazel,68,60,1,0,12,Yes,3,15,1,12
male,19,first,blue,77,350,2,1,2,Yes,8,30,1,2
male,21,third,blue,70,150,2,1,15,No,0,120,5,3
male,20,second,hazel,70,60,0,1,5,No,0,40,1,8
male,20,second,hazel,71,193,1,1,4,No,0,100,8,4
male,20,second,green,76,180,0,2,6,Yes,13,40,1,5
female,20,second,hazel,69,25,1,1,10,Yes,6,300,0,8
male,20,third,brown,70,0,0,1,10,No,0,25,20,4
male,20,second,hazel,72,200,2,1,17.5,Yes,9,40,2,14
female,20,third,blue,61,35,1,0,3,No,0,30,0,8
male,19,second,blue,71,201,0,1,20,No,0,10,9,14
female,21,third,brown,68,20,1,0,5,No,0,30,0,4
male,21,third,blue,73,117,1,2,10,Yes,3,10,0,5
male,24,third,brown,74,9,1,1,4,Yes,5,400,0,8
female,26,fourth,green,63,7,1,0,4,No,0,250,0,1
female,47,fourth,brown,63,0,5,2,4,Yes,2,50,0,4
male,20,second,blue,73,189,1,0,5,Yes,6,200,0,4
male,20,second,brown,70,50,1,0,1,No,0,25,5,10
female,25,other,brown,62,1035.6,0,2,10,No,0,100,0,20
male,21,third,hazel,71,84,1,2,10,Yes,5,12,4,2
male,18,first,brown,73,1528,0,1,60,No,0,25,3,22
female,20,second,brown,63,150,2,2,10,Yes,3,10,1,1
male,21,fourth,green,73,30,2,0,15,No,0,70,2,12
male,21,fourth,other,73,80,2,2,10,Yes,4,100,0,2
male,20,third,blue,70,220,1,1,3,Yes,4,50,5,10
male,20,second,hazel,72,115,0,2,2,Yes,30,25,0.25,0.5
female,20,third,hazel,68,33,1,4,5,Yes,4,50,0,7
male,20,second,green,73,300,4,1,4,Yes,9,1,2,4
female,20,second,blue,69,190,1,0,7,Yes,3,250,2,10
male,21,fourth,blue,71,326,1,0,10,Yes,4,60,2,15
female,21,fourth,hazel,67,30,1,1,20,No,0,10,0,10
male,28,second,brown,67,17,1,1,2,No,0,35,1,4
male,21,third,brown,75,90,2,0,1,Yes,6,50,4,15
female,20,second,blue,64,220,1,0,20,Yes,6,25,2,10
male,22,fourth,brown,72,15,2,0,10,No,0,100,10,10
female,21,third,blue,63,120,0,0,5,No,0,10,10,30
female,20,third,hazel,67,100,5,1,3.5,Yes,8.5,12,0,11
female,19,second,green,67,195,1,0,6,Yes,8,25,0,4
female,22,fourth,hazel,66,60,1,1,2,No,0,100,0,10
female,19,second,brown,68,210,1,0,5,Yes,10,30,1,6
female,21,fourth,green,65,185,1,2,5,Yes,6,3,0,10
male,20,second,hazel,72,50,2,0,1,No,0,100,6,10
male,27,fourth,brown,72,800,3,0,10,No,0,125,5,10
male,21,fourth,blue,75,40,0,0,5,Yes,7,18,2,15
female,27,third,hazel,67,0,2,1,2,No,0,108,1,4
female,18,first,blue,68,250,1,0,20,No,0,20,7,30
female,20,second,brown,61,3500,1,0,5,No,0,250,2,2
male,22,fourth,hazel,72,158,1,0,12,Yes,0,300,0,2
female,19,second,blue,72,150,2,0,7,Yes,12,20,2,10
female,18,first,blue,61,25,0,2,6,No,0,65,0,10
male,20,third,hazel,69,120,0,2,3,No,0,50,15,15
female,21,fourth,brown,70,25,0,0,10,Yes,10,100,0,8
female,19,second,green,66,215,0,1,10,Yes,6,250,0,0
female,20,third,blue,61,30,1,1,10,No,0,70,3,10
male,21,third,blue,69,185,1,0,20,Yes,26,50,2,10
male,20,second,blue,70,100,0,2,5,No,0,30,15,2
male,19,second,green,68,180,1,2,2,Yes,10,50,2,5
female,19,second,green,67,280,2,0,4,Yes,2,164,0,2
female,22,fourth,green,72,60,1,2,6,No,0,30,0,4
female,21,third,blue,68,25,2,0,4,Yes,3,50,2,7
female,22,third,blue,64,250,1,4,5,Yes,0,30,0,10
female,20,third,green,70,350,0,1,15,Yes,3,100,1,5
female,21,fourth,blue,66,110,1,0,4,No,0,20,0,10
female,20,second,brown,62,140,1,3,5,No,0,50,1,5
female,21,third,blue,64,80,3,0,5,Yes,4,100,0,6
female,33,fourth,brown,60,45,1,0,12,No,0,5,1,12
